170019695992242795	52.82385	-29.691600	SN
170019696008495213	53.16975	-29.185678	SN
170019696010067995	53.19071	-29.072177	SN
170019696011640884	53.19470	-28.742419	SN
170019696024748213	54.43390	-27.978388	SN
170019696036806674	52.40369	-28.732776	SN
170019696041525298	51.58988	-28.798757	SN
170019696043098131	51.47200	-28.629203	SN
170019696046768167	54.23780	-27.670760	SN
170019696054632535	53.37541	-27.199662	SN
170019696062496843	51.72932	-27.760201	SN
170019696069836845	53.65261	-27.023017	SN
170019696077701139	52.59136	-26.807001	SN
170019696082419886	52.00500	-26.729393	ORPHAN
170019696205103136	52.67654	-26.872335	UNCLEAR
170019696254910754	62.00489	-49.480107	SN
170019696255435601	61.96812	-49.664246	SN
170019696255435832	61.87011	-49.658723	SN
170019696256483349	62.03441	-49.402105	SN
170019696256483390	61.88140	-49.424358	SN
170019696256483399	62.08092	-49.282687	SN
170019696256483574	62.01929	-49.237943	SN
170019696257007631	61.69731	-49.630018	ORPHAN
170019696262250510	60.76849	-50.183009	SN
170019696262250595	60.46851	-50.124856	ORPHAN
170019696264348872	60.61026	-50.483650	ORPHAN
170019696264873503	60.35472	-50.536078	SN
170019696266444924	59.89904	-50.459670	SN
170019696266969120	59.88642	-50.665630	SN
170019696266969165	59.70979	-50.672605	ORPHAN
170019696266969242	59.82303	-50.731832	SN
170019696268541981	62.04026	-49.040715	UNCLEAR
170019696269590551	62.10681	-48.676073	SN
170019696269590648	61.93233	-48.582883	SN
170019696270114847	61.82157	-48.865823	SN
170019696271163443	61.73919	-48.582790	SN
170019696271687768	61.39428	-48.704160	SN
170019696271687821	61.34148	-48.622074	SN
170019696271687855	61.43056	-48.684365	SN
170019696271687857	61.37359	-48.685702	SN
170019696272736275	61.66532	-49.307780	SN
170019696272736349	61.49711	-49.245788	SN
170019696272736364	61.37294	-49.278376	UNCLEAR
170019696273784922	61.54256	-48.896600	ORPHAN
170019696274309249	61.22303	-49.004888	SN
170019696274833525	60.81510	-49.249995	SN
170019696274833567	60.99396	-49.177909	SN
170019696276406365	60.64617	-49.104390	SN
170019696276406393	60.67437	-49.028123	SN
170019696277454855	60.85379	-49.808466	SN
170019696277454895	60.58977	-49.886316	ORPHAN
170019696277454997	60.59154	-49.698045	SN
170019696278503512	60.62765	-49.443096	SN
170019696278503582	60.67529	-49.553881	SN
170019696279027799	60.30359	-49.638309	UNCLEAR
170019696279027842	60.29477	-49.559029	SN
170019696279552055	60.18220	-49.818622	SN
170019696279552156	59.94587	-49.755164	SN
170019696279552203	60.17153	-49.778692	ORPHAN
170019696280076341	60.36634	-49.382353	ORPHAN
170019696280076421	60.30505	-49.232510	UNCLEAR
170019696281124967	59.84420	-49.641164	SN
170019696281649287	60.05996	-50.024039	SN
170019696282173491	59.88621	-50.325309	SN
170019696282173633	59.96897	-50.215155	SN
170019696283746337	59.59480	-50.174697	SN
